target,S_Dist,S1_Vf,ST_Vf,S1_EfEm,ST_EfEm,S1_alpha,ST_alpha,S1_logL,ST_logL,S1_tdeg,ST_tdeg
E1_Em,1.3644516302796864e-06,0.8226614185274879,0.8444652364181663,0.15280575900668447,0.1739285273182768,0.0017840721157856695,0.0026785243645822145,0.00042279570725850806,0.0008889569727194509,0.0004368658173925375,0.0011556835658255342
E2_Em,1.54809175826269e-05,0.822036548354459,0.8436915495106282,0.15384914551940151,0.17482308127318444,0.001004064308880098,0.001907385336434209,0.00024094247136442198,0.0008745478177203985,0.0003054019501803068,0.0013288514381182644
E3_Em,0.002113516288992087,0.34504404834303787,0.40817997044980064,0.4500030679459301,0.5378717350891516,0.011895601518546912,0.019682620075094533,0.08779290753175117,0.12815889572888878,0.004754938805676699,0.008955849496971926
G12_Em,0.00019423346843609607,0.8637738509695694,0.8863465541265602,0.11054678527345427,0.13196082854489274,0.0007926917259617722,0.0018248299667791305,0.0008368768959805306,0.0015263686986867876,0.0006841492979637008,0.00234216480764401
G13_Em,8.726511385062826e-06,0.7561767685599993,0.7890635978996178,0.19664598254592613,0.22997540537690414,0.0028501540159828805,0.00430478321165241,0.0044483712088630445,0.007706331303669827,0.0036134621958991827,0.006890983410485239
G23_Em,0.00014235180908044314,0.753918620440104,0.7873539879259209,0.19954939582268735,0.2325381438154918,0.0016968811534748248,0.002917165261327974,0.004324867294851259,0.008178288458080963,0.003000282159285542,0.006603202475748122
v12,0.027278937022668214,0.13498058180023467,0.17743616246492844,0.5486248035150532,0.5750436968098742,0.008774713290606806,0.03271079881217627,0.15653513825597487,0.18285996250938225,0.060936970342914495,0.08057869383211291
v13,0.006344513361715651,0.165618733505376,0.17035868093600617,0.6853982087897068,0.6977339543349992,0.011513532326711172,0.016012275244435503,0.09796126606807144,0.10903058941896068,0.01632256650475351,0.019537447202272042
v23,0.0067706282870359895,0.16737578603856668,0.17219111720281807,0.683771523150184,0.6961058251004536,0.011509131579668137,0.01611887746630713,0.09916694005395542,0.11027172680310135,0.014465329896417398,0.017640880594411417
