dist,target,factor,S1_hgb,S1_gp,ST_hgb,ST_gp
constant,E1_Em,Vf,0.7868371764168153,0.8340068531176599,0.8151348409916608,0.8509554795650751
constant,E1_Em,EfEm,0.18188928655409461,0.14212889943288112,0.20924036676502966,0.16706189306629374
constant,E1_Em,alpha,0.00238124885947831,0.0054391308395539,0.0032851452975032505,0.0020451892413931617
constant,E1_Em,logL,0.0016123666876469475,0.00220434233624285,0.0019887645561362443,0.0010511682757034706
constant,E1_Em,tdeg,0.0009483576399192418,0.0028729725664532347,0.0014646731273120178,0.0008098710929719947
constant,E2_Em,Vf,0.7859402650853915,0.82689421332442,0.8127549023834932,0.8479147383573572
constant,E2_Em,EfEm,0.18333961807438862,0.1490288896432318,0.21155741950116444,0.17285239030121247
constant,E2_Em,alpha,0.001272125480272282,0.008164964465378743,0.0025896738887646454,0.001184803185349546
constant,E2_Em,logL,7.278661579893587e-05,0.006426935984501622,0.0017884222218625687,0.0010924271435184083
constant,E2_Em,tdeg,0.0013494406450959015,0.0016806370678866486,0.001476916668735726,0.0010424829115106855
constant,E3_Em,Vf,0.3335862715786922,0.34457458969318044,0.4102194112806494,0.4193369991121882
constant,E3_Em,EfEm,0.3825789608690378,0.3777276342627893,0.49713116259716467,0.49602536720051343
constant,E3_Em,alpha,0.01711207944125887,0.011703869999882198,0.02960455672234976,0.024054876761189566
constant,E3_Em,logL,0.1274082069011516,0.12905206203586553,0.1917123730879318,0.18030191100273565
constant,E3_Em,tdeg,0.004898206014222351,0.005116325517689493,0.009552039218546833,0.010526715564692408
constant,G12_Em,Vf,0.8281038686000456,0.8692871180537134,0.8566171547207633,0.8883615802962154
constant,G12_Em,EfEm,0.14065282400634008,0.10621710739655313,0.1686144448952165,0.1297769821518755
constant,G12_Em,alpha,0.0013405364905001486,0.003127211846181377,0.0031490598844786913,0.0013494904536754547
constant,G12_Em,logL,0.0013050709049875387,0.00038824152841413303,0.0018362345510325685,0.0009526296061669775
constant,G12_Em,tdeg,0.0002405873998957933,0.002167121052274982,0.0019024438860847572,0.001810676043260037
constant,G13_Em,Vf,0.7223206648460491,0.7718820334811539,0.7643391573492212,0.8005843120518918
constant,G13_Em,EfEm,0.21784712426328107,0.17943679060800935,0.25929721816186513,0.21859500575141477
constant,G13_Em,alpha,0.00392700592611159,0.004676391759876349,0.0056085146426067345,0.003749042875163546
constant,G13_Em,logL,0.008585361310147224,0.007114440307187193,0.014082087139743387,0.009736168605178699
constant,G13_Em,tdeg,0.0036502409848619055,0.007121793669655882,0.006566934408729822,0.005768357479111735
constant,G23_Em,Vf,0.7186068861717227,0.7567969296530944,0.7603070679211104,0.7930869655912147
constant,G23_Em,EfEm,0.2208944311421918,0.18951379792863238,0.2636711784345665,0.22783792257020682
constant,G23_Em,alpha,0.001765794742025261,0.006035289482255313,0.004167533775056168,0.0028821037943262645
constant,G23_Em,logL,0.0064719881116772245,0.011230709516367482,0.015546312898005347,0.01066255352848495
constant,G23_Em,tdeg,0.0029798410301433973,0.0025517031543902773,0.006008113134190884,0.006443411650902607
constant,v12,Vf,0.09669831679756455,0.12311569237391223,0.14944994393490652,0.14630494407775563
constant,v12,EfEm,0.5351309152473559,0.508371661837172,0.559431831820002,0.5318930792855163
constant,v12,alpha,0.014569034359064769,-0.03868890070532293,0.05055888815914091,0.03747297920778535
constant,v12,logL,0.22272880378854346,0.2317606473012227,0.2672635564531235,0.281606171271457
constant,v12,tdeg,0.060341142958741996,0.061249019321045005,0.07826372021116783,0.08119981365404884
constant,v13,Vf,0.16616050635161259,0.1859247464359535,0.17186172718336934,0.1895686705010884
constant,v13,EfEm,0.6402180880620872,0.6102190231626442,0.664327565010371,0.632661574955915
constant,v13,alpha,0.014708828100816479,0.013009836748984191,0.021401040044026518,0.017232934061916186
constant,v13,logL,0.13590603703910212,0.14343220620241656,0.15539371821588197,0.15786884808979804
constant,v13,tdeg,0.011913225350581027,0.014572760455933254,0.014870976176863655,0.01809928912806437
constant,v23,Vf,0.16789728664142073,0.18798680465927997,0.17383885174281893,0.19409973143718362
constant,v23,EfEm,0.6391548877542099,0.6266310181831383,0.6632489177824766,0.6497266821620358
constant,v23,alpha,0.01527405033886393,0.019851711682696234,0.022296832989911836,0.024737380970231895
constant,v23,logL,0.13530577103561514,0.1172959050393069,0.15460289519589018,0.13071425453065083
constant,v23,tdeg,0.010573914216370155,0.010579936654152454,0.013930179909457868,0.016737311222409915
exponential,E1_Em,Vf,0.7833110106155846,0.8273856242394546,0.8113929491965564,0.8454002711864556
exponential,E1_Em,EfEm,0.18387658797146803,0.1465893717841416,0.21078778529345898,0.17233302567372397
exponential,E1_Em,alpha,0.0030794766007947393,0.010047259499620265,0.005538845201566222,0.00358637902714943
exponential,E1_Em,logL,0.0009054929176412114,0.005085057527273567,0.0014630446748200344,0.0006781897443216052
exponential,E1_Em,tdeg,0.002134327430913467,0.010843117207332607,0.002986878063101538,0.0021957713114781987
exponential,E2_Em,Vf,0.7844109388953168,0.8091770140094792,0.8125207174248448,0.8447954079994163
exponential,E2_Em,EfEm,0.18368995396515125,0.14407112315295134,0.21006998948297753,0.17276136455970814
exponential,E2_Em,alpha,0.0024486318999438826,-0.0018771732153526847,0.00454984201942441,0.0028379357127719
exponential,E2_Em,logL,0.0004269508051935525,-0.00134768987467418,0.0013827481775841347,0.0006893004352474856
exponential,E2_Em,tdeg,0.001356460119981634,0.0015578136038669188,0.0031046636009339256,0.021578936444177736
exponential,E3_Em,Vf,0.3277300153347061,0.34736354650667317,0.3999675936264897,0.406621470812338
exponential,E3_Em,EfEm,0.46656300953732366,0.4815503290812051,0.5593121179019823,0.5630225119358401
exponential,E3_Em,alpha,0.009348448430035683,0.0015431727158877234,0.020460683671748914,0.016591154529860194
exponential,E3_Em,logL,0.08011487241208577,0.061403971359853884,0.1248377268039749,0.09671820710391302
exponential,E3_Em,tdeg,0.006809045245045729,0.004607611373545614,0.018034302143224056,0.010614969680576599
exponential,G12_Em,Vf,0.8295950430207762,0.8740363150295792,0.8598195683096036,0.893567238496191
exponential,G12_Em,EfEm,0.1351464181162443,0.10186522345093671,0.16272205595565636,0.12546407979803453
exponential,G12_Em,alpha,0.001837077233108832,0.010666826617240575,0.004463964567224638,0.00246291791547375
exponential,G12_Em,logL,0.0012466968876210488,0.005535491404346896,0.0039302806932357695,0.0019877561150986977
exponential,G12_Em,tdeg,0.0016171952667958637,0.005761296571196592,0.0041059606457883036,0.004224321416908574
exponential,G13_Em,Vf,0.7195850665726646,0.7660009416766205,0.758743701027287,0.7966559107459082
exponential,G13_Em,EfEm,0.22653772760318092,0.18892473135749221,0.2661911589788718,0.22201175385301497
exponential,G13_Em,alpha,0.004344555385303584,0.010594057693086838,0.007257889327075318,0.004634805745094524
exponential,G13_Em,logL,0.0032550546211225465,0.004497598274396107,0.008015718537954587,0.00449027513385276
exponential,G13_Em,tdeg,0.004680512741902401,0.00633290987098177,0.007866706928405914,0.005815787239505833
exponential,G23_Em,Vf,0.7222957243111436,0.7650386950437311,0.7622311844195764,0.7975914003342371
exponential,G23_Em,EfEm,0.22438743319166965,0.18790430090607094,0.2639949138798638,0.22384481300366801
exponential,G23_Em,alpha,0.003389473573903843,0.003814708108563097,0.0059396992333931985,0.003448929751821927
exponential,G23_Em,logL,0.0027864840923739658,0.0015287817676846046,0.007475834839384625,0.004553105596415844
exponential,G23_Em,tdeg,0.002664306222602854,-0.0004757612713972486,0.007260335790269147,0.005965909879647559
exponential,v12,Vf,0.13347525767636406,0.19443162554709648,0.18963129939094472,0.20809319106397645
exponential,v12,EfEm,0.5860364826886391,0.6032872674777319,0.6067207253803177,0.6067104411277114
exponential,v12,alpha,0.02109398056054392,0.03691864787333534,0.04970778579181862,0.035229645460904416
exponential,v12,logL,0.13218295859556958,0.1296004338559787,0.17231221371930763,0.13369743659826863
exponential,v12,tdeg,0.06547853200315852,0.06522272518316628,0.09561533186975173,0.08618627052056885
exponential,v13,Vf,0.13262547052200366,0.15233710718968207,0.14275384123768553,0.15599200112600212
exponential,v13,EfEm,0.7315571260767391,0.738170367958638,0.7479363057624817,0.7456259373103556
exponential,v13,alpha,0.006857500678699985,0.01341942717405142,0.014916255828812572,0.01276885371079911
exponential,v13,logL,0.08375809177049243,0.07168511208234367,0.09963493159645372,0.07745498890069777
exponential,v13,tdeg,0.01440030605008624,0.016781204990246996,0.022295150407310536,0.020056741660175383
exponential,v23,Vf,0.13210640977067187,0.15416543681058284,0.14281331371944966,0.15772185349630782
exponential,v23,EfEm,0.7306208078628506,0.7349172702678641,0.746465199135713,0.7419727672330867
exponential,v23,alpha,0.006514823305394875,0.01335307920295963,0.015009710012644494,0.011813791988909882
exponential,v23,logL,0.08440335501649839,0.07595835168291437,0.10117839287639786,0.08021372712937734
exponential,v23,tdeg,0.014321068709304639,0.014155864064624726,0.022998695330266775,0.018370110820478357
