dist,target,pair,S2
exponential,E2_Em,Vfxtdeg,0.0004100584061707332
exponential,E2_Em,EfEmxalpha,0.0009101524691969354
exponential,E2_Em,EfEmxlogL,7.884359636957683e-05
exponential,E2_Em,EfEmxtdeg,0.000912808167321539
exponential,E2_Em,alphaxlogL,0.00031654881304388677
exponential,E2_Em,alphaxtdeg,0.0006535325360223932
exponential,E2_Em,logLxtdeg,0.0001674581482602752
exponential,E3_Em,VfxEfEm,0.046360677233115766
exponential,E3_Em,Vfxalpha,-0.0005276425330253531
exponential,E3_Em,VfxlogL,0.004975135452415777
exponential,E3_Em,Vfxtdeg,0.0005325284580949899
exponential,E3_Em,EfEmxalpha,0.0023984176972840932
exponential,E3_Em,EfEmxlogL,0.02170194007711211
exponential,E3_Em,EfEmxtdeg,-0.0008369036918880399
exponential,E3_Em,alphaxlogL,0.00010479231996883553
exponential,E3_Em,alphaxtdeg,0.0005285327187567294
exponential,E3_Em,logLxtdeg,-2.555102083405536e-06
exponential,G12_Em,VfxEfEm,0.02063781552565988
exponential,G12_Em,Vfxalpha,0.0001594953614125423
exponential,G12_Em,VfxlogL,-0.000761154642352941
exponential,G12_Em,Vfxtdeg,0.00020461027198464063
exponential,G12_Em,EfEmxalpha,0.0006879574157308911
exponential,G12_Em,EfEmxlogL,-0.0004011540568272028
exponential,G12_Em,EfEmxtdeg,0.0005636209494187146
exponential,G12_Em,alphaxlogL,0.00020569763407760349
exponential,G12_Em,alphaxtdeg,0.00034337274766034265
exponential,G12_Em,logLxtdeg,-2.8906977185148754e-08
exponential,G13_Em,VfxEfEm,0.0294337671596617
exponential,G13_Em,Vfxalpha,0.0011581168600553887
exponential,G13_Em,VfxlogL,-0.0003525232736875249
exponential,G13_Em,Vfxtdeg,0.00033716842313892374
exponential,G13_Em,EfEmxalpha,0.0012369303958353478
exponential,G13_Em,EfEmxlogL,0.00042223450252450124
exponential,G13_Em,EfEmxtdeg,0.001426805556885331
exponential,G13_Em,alphaxlogL,-0.0001614259388930269
exponential,G13_Em,alphaxtdeg,0.00035697640534326953
exponential,G13_Em,logLxtdeg,0.00048679797725454136
exponential,G23_Em,VfxEfEm,0.029487532948202916
exponential,G23_Em,Vfxalpha,0.0007992503284706826
exponential,G23_Em,VfxlogL,0.0003204008559268964
exponential,G23_Em,Vfxtdeg,0.0013487215524648746
exponential,G23_Em,EfEmxalpha,0.0010230722109352136
exponential,G23_Em,EfEmxlogL,0.001491324989842848
exponential,G23_Em,EfEmxtdeg,0.0018801124639009606
exponential,G23_Em,alphaxlogL,0.00022827440883616337
exponential,G23_Em,alphaxtdeg,0.00016380644373640836
exponential,G23_Em,logLxtdeg,0.0004223039447999652
exponential,v12,VfxEfEm,0.013043964426005528
exponential,v12,Vfxalpha,0.008252196785491722
exponential,v12,VfxlogL,0.005155877153028704
exponential,v12,Vfxtdeg,0.01136279909070391
exponential,v12,EfEmxalpha,-0.00821432363676119
exponential,v12,EfEmxlogL,0.0077243409270537355
exponential,v12,EfEmxtdeg,0.002104058389158517
exponential,v12,alphaxlogL,0.0038993268673190584
exponential,v12,alphaxtdeg,0.0020671291738864547
exponential,v12,logLxtdeg,-0.0013019424350665526
exponential,v13,VfxEfEm,0.000844669930348485
exponential,v13,Vfxalpha,0.0005418853839749722
exponential,v13,VfxlogL,-0.0005026543221361285
exponential,v13,Vfxtdeg,0.0009549007740761936
exponential,v13,EfEmxalpha,0.0007663144382261573
exponential,v13,EfEmxlogL,0.004676450552498088
exponential,v13,EfEmxtdeg,-0.00018401879170457797
exponential,v13,alphaxlogL,-0.0005018614999044296
exponential,v13,alphaxtdeg,-0.0008159551695629888
