dist,target,factor,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi
constant,E1_Em,Vf,0.8226850746012726,0.8037441541753331,0.839503139281373,0.8446941435683104,0.8297062937323065,0.8576405234975918
constant,E1_Em,EfEm,0.15343154859104302,0.14554037785791415,0.1627011521979291,0.17493770932186614,0.16905291842768944,0.18066736020127097
constant,E1_Em,alpha,0.0011867321593819584,0.00020257393880154017,0.0020642977809430616,0.0016498749693886383,0.0015943652047389232,0.001711121427927646
constant,E1_Em,logL,0.0007293962704270436,-8.626581845792872e-05,0.0014392917389601612,0.0011929777307610736,0.0011502305525539092,0.0012297121740036487
constant,E1_Em,tdeg,0.00040207786006769364,-9.362782892467271e-05,0.0009462635775250379,0.000560216046496321,0.0005409314829376483,0.0005814922288595252
constant,E2_Em,Vf,0.8201217880232013,0.8034750594092532,0.8385145250074431,0.8417279094159525,0.8270241907453714,0.8588393255479092
constant,E2_Em,EfEm,0.15623168857514041,0.14672181356077454,0.16375182276969877,0.1776275554495084,0.17247855182487676,0.18294245614272756
constant,E2_Em,alpha,0.0006689606215635103,-0.00018297116955306054,0.0014643404555614156,0.0012619142362871242,0.0012204170592401422,0.0013075322085722484
constant,E2_Em,logL,0.00038477323694547267,-0.000323982132363342,0.0012035468596426648,0.001073717625788178,0.0010295438235401742,0.0011125538889058125
constant,E2_Em,tdeg,0.00020878591595489083,-0.0004281679470270765,0.0008248807601855371,0.0008033155280048325,0.0007720201063188848,0.000831641434877261
constant,E3_Em,Vf,0.35728073774149594,0.34415614656131205,0.3702251862370144,0.42504742660233746,0.41379044389579217,0.4373137138751296
constant,E3_Em,EfEm,0.40223141854612765,0.38792265791015973,0.4170229943363889,0.5013392621487579,0.4863883418490334,0.5190603903010274
constant,E3_Em,alpha,0.015085503662765093,0.011917070150951161,0.018381749570813392,0.023899371687693665,0.02309309548316064,0.02475520982514441
constant,E3_Em,logL,0.10852905897292976,0.1003661208786686,0.11699913466895112,0.15785567828043248,0.15258942176815857,0.16307071846032706
constant,E3_Em,tdeg,0.0050506552172377905,0.00310632316399071,0.007230669035937072,0.008182379378735036,0.00787137296873421,0.008530186927586992
constant,G12_Em,Vf,0.8602246052837458,0.8409144792488416,0.8795089871580696,0.8823142052580373,0.8670083694759461,0.8984875131376016
constant,G12_Em,EfEm,0.11503032000875991,0.10749271827160849,0.12359262728281843,0.1367049833875542,0.13215848662288007,0.14156130573565692
constant,G12_Em,alpha,0.0007654754352300607,9.046509484108576e-05,0.0015140117575900575,0.001302033355922295,0.001255358421789362,0.00134293861578008
constant,G12_Em,logL,0.0005217321186401612,-0.00032253614393546517,0.0012794783612961776,0.00110009565956197,0.0010629189529456524,0.0011463294783796345
constant,G12_Em,tdeg,0.001033179016842006,5.8795938958434525e-05,0.0020143661259787236,0.0020407856891408865,0.0019676670524082455,0.002109521177112262
constant,G13_Em,Vf,0.7573823737158079,0.7407455847691118,0.7742775475006909,0.7915291639890326,0.7764094502933501,0.8072803149114458
constant,G13_Em,EfEm,0.19262013984652415,0.1832793858347999,0.20188584338017682,0.22742705381928818,0.22020954356582337,0.23569260368382744
constant,G13_Em,alpha,0.0025274560223901904,0.0012781427113099353,0.0038847384550830225,0.003535329754016691,0.0034079154471236325,0.003660550559553462
constant,G13_Em,logL,0.006079613978232332,0.0038640959923433066,0.008173128889218043,0.009789390749702382,0.009415915692191244,0.010217419440543841
constant,G13_Em,tdeg,0.004431955162125089,0.002674623644974099,0.006244556769862954,0.007316575070358018,0.007057727710259965,0.0076134415618750615
constant,G23_Em,Vf,0.7510494368739561,0.7346684605630998,0.7676561181454136,0.7860088720596407,0.771117070939428,0.8008688340983832
constant,G23_Em,EfEm,0.19787114186881166,0.1887542966216017,0.20761259968719478,0.2325509191634612,0.22436073986347563,0.240386117640186
constant,G23_Em,alpha,0.0017451734788746151,0.0008162528877864038,0.0027999464556606006,0.0025499762146508564,0.0024711443776612705,0.002622891376429615
constant,G23_Em,logL,0.005839272913505263,0.0038411490207892,0.008237015666765355,0.011104221264720038,0.010666856224236307,0.011570559448691621
constant,G23_Em,tdeg,0.00454926047186541,0.002749238085640276,0.006510898140348018,0.0078901058324832,0.00761656110432003,0.008144344344694989
constant,v12,Vf,0.10913128923319285,0.10138356131444448,0.11680291590272301,0.1481748530548954,0.143715088556177,0.15285416798806217
constant,v12,EfEm,0.524763647794463,0.5066950220706778,0.5399088986153384,0.5534929078067157,0.540451298535764,0.5657257604288641
constant,v12,alpha,0.00797869481844717,0.003962126991409653,0.011957847367063354,0.03397736738419564,0.03286678259435155,0.03522015830697037
constant,v12,logL,0.21389938079544152,0.20361825839772957,0.22332315731276028,0.2512318160129211,0.2448306482918724,0.25763563414688967
constant,v12,tdeg,0.07399392009568938,0.067971164775033,0.08016512629273267,0.08977799262040324,0.08754101041421172,0.09237099476852424
constant,v13,Vf,0.1838164151853084,0.17507156509455596,0.19229161454605148,0.18742747941148685,0.18366054292502992,0.1919113441052881
constant,v13,EfEm,0.639844847437923,0.6205907145359885,0.6558228951914628,0.6555239267987425,0.6425003015156754,0.6677518189446824
constant,v13,alpha,0.014784996385981759,0.01167983985895934,0.017750365744011298,0.01954918187202355,0.018906166553087418,0.020209955143633555
constant,v13,logL,0.1258477027144216,0.11716286339574503,0.13332580692959972,0.13977043230974187,0.13628302713542378,0.14356858124617097
constant,v13,tdeg,0.01597672903131602,0.013426520225269653,0.019124696138792134,0.017898193957890943,0.01743526793586228,0.018361725982730576
constant,v23,Vf,0.18710238162107268,0.17853463943620246,0.19513629033469007,0.1909075742551841,0.1856636143907483,0.19525336160671528
constant,v23,EfEm,0.637580560692094,0.6200110000612126,0.6566631193565295,0.6533090747511564,0.6403356360085838,0.6667964487567424
constant,v23,alpha,0.01536152616752041,0.011772511423602201,0.0186279133215659,0.020529045158303786,0.01985979091851075,0.021258196000114075
constant,v23,logL,0.12626908576537196,0.11983966195821455,0.13384417851268768,0.14006213529715292,0.13617097162277478,0.14380940624036928
constant,v23,tdeg,0.013794653146859627,0.01144273479770517,0.016372343643454832,0.015650982338876268,0.015166700466546768,0.016058868025605463
exponential,E1_Em,Vf,0.8226399504711079,0.8050267433215269,0.8407631727802791,0.8442380581306854,0.8292932489772763,0.8587091393123177
exponential,E1_Em,EfEm,0.15217880538554576,0.1438344100457658,0.16193448369196736,0.17291727004613633,0.1671417757889115,0.17850080023696965
exponential,E1_Em,alpha,0.0023829266026518868,0.0011634659394475682,0.003702362863412116,0.003709780781440821,0.0035884824716101867,0.003820491988093049
exponential,E1_Em,logL,0.00011542142849924999,-0.000488393603466789,0.0006918991116762466,0.0005841702927402361,0.0005553093404108537,0.0006110098909389695
exponential,E1_Em,tdeg,0.0004717428879055809,-0.00034923868856390287,0.0013968284972592064,0.0017526591664310009,0.0016870899621952782,0.0018140279909471919
exponential,E2_Em,Vf,0.8239682235633058,0.8075199428017054,0.8389105714262904,0.8456725569873637,0.8313235723400152,0.8611492698039972
exponential,E2_Em,EfEm,0.15148190826605476,0.14356820464062778,0.15985720203081716,0.1720364296917577,0.1663945905639406,0.17733943775066083
exponential,E2_Em,alpha,0.001337714764907787,0.00013103078635285815,0.0025032756629982675,0.0025500564242629344,0.0024584326560750823,0.002646185535240806
exponential,E2_Em,logL,9.775620863595713e-05,-0.0004371312060907493,0.0006812942755620838,0.0006762871961771504,0.0006377031469699375,0.0007218282992074571
exponential,E2_Em,tdeg,0.00040159948498293883,-0.0005477330756348043,0.0012903322548903622,0.0018521006831224986,0.0017696592746532203,0.0019372565131220484
exponential,E3_Em,Vf,0.33390433141886505,0.3215063833507377,0.34529105869299564,0.3925344153308645,0.3831244324266802,0.40361127868948316
exponential,E3_Em,EfEm,0.5012250428043747,0.4867170867587124,0.5152380032847376,0.5778764648778936,0.5620449514815458,0.5929823345069585
exponential,E3_Em,alpha,0.00865579733903833,0.006018619498115299,0.011229205709556598,0.015416933267146013,0.014784468821816707,0.016050446020056588
