dist,target,factor,S1_exact,S1_saltelli,ST_exact,ST_saltelli
constant,E1_Em,Vf,0.7601013273441324,0.7620953918043557,0.8008502082981782,0.8009860267510547
constant,E1_Em,EfEm,0.19610393007127846,0.19475239399357094,0.2358815787375056,0.23552977943667186
constant,E1_Em,alpha,0.0012634679964679378,0.002160984659794713,0.0029315602044539535,0.002866222015507515
constant,E1_Em,logL,0.0005478629867287599,-0.0006572611953567319,0.0017471078546923424,0.0016461709741224745
constant,E1_Em,tdeg,0.0003370759756004281,0.00045613650933200187,0.0017118272066836138,0.001596270693580313
constant,E2_Em,Vf,0.7585069873835879,0.7596454773721328,0.7985633134414161,0.7987706913217015
constant,E2_Em,EfEm,0.1987468628570226,0.19798228662310874,0.23801196733504637,0.23808994469898379
constant,E2_Em,alpha,0.0008797094145036271,0.001472548024960606,0.002306690394327071,0.0022305927541604303
constant,E2_Em,logL,0.0005733930107635884,-4.220411148929939e-05,0.001795850612426042,0.0016932395188683793
constant,E2_Em,tdeg,0.0002959112361161636,0.0011026773547635237,0.0015819539661087179,0.0014943320499871966
constant,E3_Em,Vf,0.33016803842732384,0.3317869567709231,0.42486883452747715,0.424356687852721
constant,E3_Em,EfEm,0.3681407707983549,0.3666968983898236,0.5037743942008979,0.5043903435747389
constant,E3_Em,alpha,0.015735055596372987,0.014944472249912036,0.027922113592018682,0.027885919794830384
constant,E3_Em,logL,0.12376227232439244,0.12467569479565174,0.19977909395350402,0.1989822579488841
constant,E3_Em,tdeg,0.005154570124184133,0.00480944437382042,0.01097490106682164,0.010951535245813004
constant,G12_Em,Vf,0.8001732304945056,0.8036555147264947,0.8418634442797972,0.8422585885352256
constant,G12_Em,EfEm,0.15484377455655052,0.15400624126187637,0.19568487302440296,0.19527441645951027
constant,G12_Em,alpha,0.001148235587925413,0.0026096134389125146,0.0030339690612573023,0.0029670482103065126
constant,G12_Em,logL,0.00031397868516250217,7.076996115665765e-05,0.00168009369014388,0.001589326769904058
constant,G12_Em,tdeg,0.0005744797263644724,0.0008974219616926372,0.0020625670852377764,0.0019617997404211807
constant,G13_Em,Vf,0.6925462622477492,0.695419237576772,0.749556525453011,0.7496665337815925
constant,G13_Em,EfEm,0.23035250203365887,0.22916125210207383,0.2878109266297255,0.2879352644724531
constant,G13_Em,alpha,0.0024722467392847116,0.003577628008636595,0.004793289711781279,0.004610983049185986
constant,G13_Em,logL,0.00900292525229446,0.008581854677489438,0.016543671151702966,0.01639901928350775
constant,G13_Em,tdeg,0.0028967560255710074,0.0032970236530014485,0.007063394862002803,0.006900305391119995
constant,G23_Em,Vf,0.6886019566304964,0.689326881505089,0.7459859491041609,0.7460710105193697
constant,G23_Em,EfEm,0.23398532699397212,0.23242912627676132,0.2911180149364091,0.291688615401122
constant,G23_Em,alpha,0.0018614678984722668,0.0018579993207178533,0.00344249395376528,0.0033318110112854436
constant,G23_Em,logL,0.009572518686606617,0.009543825183649185,0.01904944501504402,0.019095224385647334
constant,G23_Em,tdeg,0.0028345433226911747,0.0038570547503067043,0.00657868160663222,0.006507974005875846
constant,v12,Vf,0.10100951320338514,0.09860004680870244,0.17062256827171263,0.17023753027605232
constant,v12,EfEm,0.5196853544098013,0.5274888213087682,0.5686216936677948,0.5701815756845093
constant,v12,alpha,0.01585938433052495,0.008700897393611521,0.06467752989085207,0.06412213717732666
constant,v12,logL,0.18961290409353884,0.19329035326748908,0.2572690651807755,0.2573046096029172
constant,v12,tdeg,0.05442183054442831,0.03827165372985846,0.07961088290014318,0.0788788021273243
constant,v13,Vf,0.1666897709458392,0.16646311186177576,0.17474021236803405,0.1748980091348186
constant,v13,EfEm,0.6505813180288944,0.650088198982816,0.6800448916615787,0.6803583782394081
constant,v13,alpha,0.013148885855822114,0.013458112510558853,0.020618357991766922,0.020575402364216188
constant,v13,logL,0.12309953897980004,0.12334944505848824,0.1478878566247469,0.14819413349721391
constant,v13,tdeg,0.010847106935575928,0.011332045541933771,0.014032873216198172,0.013970745166404872
constant,v23,Vf,0.16779714131448695,0.16724434510394753,0.17617814301691404,0.17635216408051124
constant,v23,EfEm,0.6502701983271765,0.6498354411246774,0.6796821398646136,0.6802397827148566
constant,v23,alpha,0.013481196194143126,0.013757934324288148,0.02123111884805462,0.0211350938616444
constant,v23,logL,0.12259726098681599,0.12319588769769621,0.1471471627459371,0.1473651877115866
constant,v23,tdeg,0.010158526056022958,0.010855389220578892,0.013285589167529088,0.01319345785915279
exponential,E1_Em,Vf,0.7557194126019312,0.7575817709345046,0.7961442579970068,0.7968440663061518
exponential,E1_Em,EfEm,0.19986790558241316,0.19879972881948502,0.23863624702312092,0.2384537990859953
exponential,E1_Em,alpha,0.002241082603829005,0.003279627614921806,0.004508029248286638,0.004411436694537799
exponential,E1_Em,logL,1.7214345026897672e-05,-0.0010656097015654632,0.0017702718479525315,0.001619822366845334
exponential,E1_Em,tdeg,0.0005461585003532505,-0.00018884503331820045,0.0028147009667551792,0.0026652838623451966
exponential,E2_Em,Vf,0.7569552918174814,0.7597716817422798,0.79762662330442,0.7977086757076923
exponential,E2_Em,EfEm,0.1981102119738266,0.19678280877606225,0.23702691000938758,0.2367294621520662
exponential,E2_Em,alpha,0.0021136455615301136,0.003317634776577399,0.004556587063777817,0.00442519007055595
exponential,E2_Em,logL,8.3633542118004e-05,0.0001490088355999473,0.0016898779108904805,0.0015740364956944037
exponential,E2_Em,tdeg,0.0010083897489189335,0.00014203452515518236,0.0029444505382788533,0.0028013811361903393
exponential,E3_Em,Vf,0.3328841098399824,0.33274889222390613,0.4248862981492476,0.42399129943168945
exponential,E3_Em,EfEm,0.43326623271037595,0.43323287421596673,0.5487972931317814,0.5481869719055945
exponential,E3_Em,alpha,0.010015565182220588,0.009700149069666606,0.02301811239551632,0.021952989299143435
exponential,E3_Em,logL,0.08061516330804047,0.08156295626951866,0.13451885997788882,0.13352006875233632
exponential,E3_Em,tdeg,0.007599915645895812,0.00777979572658067,0.022027189129028235,0.020568637432434114
exponential,G12_Em,Vf,0.8013533896590838,0.8047049469492137,0.844213711222072,0.843835688201467
exponential,G12_Em,EfEm,0.15073295287211824,0.14964973216951902,0.19106310570637075,0.19094569373505332
exponential,G12_Em,alpha,0.0013398006309525278,0.0013382210268080904,0.0043850568704516535,0.004193510496834989
exponential,G12_Em,logL,0.001174605592177005,-0.000693697871999072,0.00386541837062504,0.003635823180930067
exponential,G12_Em,tdeg,0.0010547746103460273,0.0014231956348631357,0.004130485666731465,0.00391236316806594
exponential,G13_Em,Vf,0.6944815303385695,0.6966970114345485,0.7481589388995147,0.7475414152717954
exponential,G13_Em,EfEm,0.23838079645825744,0.2377391264342026,0.29176318563280235,0.29203574571943575
exponential,G13_Em,alpha,0.002713845542960733,0.002973199083172736,0.00598529760643518,0.005644990491450429
exponential,G13_Em,logL,0.0038663277991330324,0.0027523834901266604,0.009081327874299716,0.008798861685947873
exponential,G13_Em,tdeg,0.0025279888593782887,0.0033370955606568304,0.00761821210341207,0.007200080420531883
exponential,G23_Em,Vf,0.6974408957235201,0.7019398574139735,0.7521891591747654,0.7526827308586803
exponential,G23_Em,EfEm,0.2343082739907825,0.2335187449849606,0.2881899326445283,0.2885475865405849
exponential,G23_Em,alpha,0.0026569585292048666,0.004003497492918334,0.006112813531436112,0.005695496180880426
exponential,G23_Em,logL,0.0038625421507718074,0.004248381051820935,0.009144573186315008,0.0089173073663596
exponential,G23_Em,tdeg,0.00261671160860946,0.0036408471964676217,0.007598223467313092,0.007355215370355784
exponential,v12,Vf,0.12319259925052185,0.10707069134049027,0.18957547501636718,0.18684513892963772
exponential,v12,EfEm,0.5682976480941714,0.5778475131510201,0.6100042599731278,0.6134313308651107
exponential,v12,alpha,0.013059992105944959,-0.01594979420794014,0.05959534939125166,0.05737059802456531
exponential,v12,logL,0.13146796844642603,0.11720843746213053,0.17919423541946355,0.17812465676974684
exponential,v12,tdeg,0.061283773989687526,0.07609956482488905,0.10444967570710295,0.10116240628993153
exponential,v13,Vf,0.13842132211916103,0.13793147129888164,0.14890586088700186,0.14900881414622955
exponential,v13,EfEm,0.7305845518622462,0.7304098382966048,0.7501904303205313,0.7510961750269602
exponential,v13,alpha,0.007724174815039507,0.010310349606254175,0.016080953499813422,0.015539759150507133
exponential,v13,logL,0.07855022276503486,0.08014756462747112,0.09680880178887463,0.09670577486898839
exponential,v13,tdeg,0.016272505878156734,0.016043333564886363,0.023620987723203535,0.02280078949948108
exponential,v23,Vf,0.13798919360387668,0.13791114750267974,0.1489133526308284,0.14870396824278737
exponential,v23,EfEm,0.7303610704444854,0.7304198416354428,0.7500545682953352,0.7511615127205057
exponential,v23,alpha,0.00780553918975574,0.010133703458187128,0.01607862801220894,0.015456440160838407
exponential,v23,logL,0.07833608487840349,0.07991348271188763,0.09644855904320226,0.09639688149009147
exponential,v23,tdeg,0.016591777804227395,0.017257774824219148,0.024548447357786496,0.023713218859576835
